,MG_1_1,MG_1_2,MG_1_3,Br3_1_1,Br3_1_2,Br3_1_3,Br7_1_1,Br7_1_2,Br7_1_3,Br10_1_1,Br10_1_2,Br10_1_3,Br15_1_1,Br15_1_2,Br15_1_3,QC1,QC2,QC3
Label,MG,MG,MG,Br3,Br3,Br3,Br7,Br7,Br7,Br10,Br10,Br10,Br15,Br15,Br15,QC,QC,QC
"(2S,3S,4S,5R)-6-carbamoyloxy-3,4,5-trihydroxyoxane-2-carboxylic acid",436343,660738,821051,3221270,853937,2193000,7492653,1387581,2833529,9096141,1626191,7279855,9204338,1081641,12182920,1821638,1841703,2315279
"Methyl 2,3-dihydro-3,5-dihydroxy-2-oxo-3-indoleacetic acid",132135,273064,455923,470917,570910,324217,1772128,1883782,591682,698530,2093729,993580,2996298,2651065,1721983,492205,531680,416214
N-Benzoylaspartic acid,132135,228000,455923,678014,570910,609135,1772128,1883782,591682,1949381,2093729,1712487,2996298,1034870,3436438,492205,531680,416214
(2R)-2-(carboxymethylamino)-3-(3-hydroxypropylsulfanyl)propanoic acid,514369,1189292,1582351,2047106,1751290,1382577,762587,1376578,1054682,1712890,1243084,1273720,736903,1317798,1149510,2277253,2758274,2871943
"1H-Pyrazole-5-carboxamide, N-(2,4-difluorophenyl)-1-methyl-",321051,384670,612022,912282,605105,586825,518139,636984,508342,504152,800772,820923,689649,533119,588286,580326,590971,480548
8-[(Aminomethyl)sulfanyl]-6-sulfanyloctanoic acid,7109220,1936331,1664940,261917,2183839,218451,3236145,2759859,590690,658812,4221184,3551928,2347497,1767402,1351438,2025212,2425871,3209441
Deoxyeritadenine,3017198,2281193,2198409,147357,249099,200350,361799,309330,155600,443909,470247,412149,302849,239679,245792,318542,320481,387914
8-[(Aminomethyl)sulfanyl]-6-sulfanyloctanoic acid.1,23560002,20175672,25009064,13524356,17754990,16199713,15899078,17973748,17439560,14340709,15625637,16864484,14170524,15244858,14250058,15618644,16576546,16540411
Glycerol alpha-monochlorohydrin.31,4951148,4516488,4661366,4429054,4549639,4784113,4982805,4575008,4755160,4503987,5070058,4803522,4964071,6397419,5972116,4866755,4442736,4873964
8-[(Aminomethyl)sulfanyl]-6-sulfanyloctanoic acid.2,9170249,8975618,10421472,7285015,9133174,7914074,9845297,10401806,9349036,8414779,10342771,9048926,7761578,9223467,9265941,7980180,8269522,7776182
8-[(Aminomethyl)sulfanyl]-6-sulfanyloctanoic acid.3,2671791,2580813,3308828,2228109,2455783,2388807,2943493,2511622,3419713,2518746,2561072,2685513,1843520,1951544,2374245,2766210,2704742,2195608
8-[(Aminomethyl)sulfanyl]-6-sulfanyloctanoic acid.4,1024220,870399,663464,179826,314012,203592,464985,345698,138255,479579,502384,459757,331102,296542,247229,342748,349363,395890
8-[(Aminomethyl)sulfanyl]-6-sulfanyloctanoic acid.5,7109220,321250,1664940,720346,607928,1516138,3236145,2759859,590690,3356627,975495,3551928,2347497,656628,1351438,2025212,2425871,3209441
Salsoline-1-carboxylate,52876,69569,108204,106817,128869,97916,90708,149146,95971,120565,176244,148203,249733,191079,177518,125321,142679,158682
UNPD119704,168361,225640,138807,219365,212178,116485,160551,289087,107792,187721,177183,138425,124215,226146,115769,180394,220195,235148
